Stock_A,Stock_B,Correlation
BHP.AX,RIO.AX,0.843329842593594
IGO.AX,PLS.AX,0.8229666774442002
EVN.AX,NST.AX,0.8154969712008973
EVN.AX,PRU.AX,0.7975476813276126
DYL.AX,PDN.AX,0.7879158982415987
CMM.AX,GMD.AX,0.7878590093136582
RRL.AX,GMD.AX,0.7872378446460672
GMD.AX,PRU.AX,0.7694179451405669
HUB.AX,NWL.AX,0.7681033776016534
STO.AX,WDS.AX,0.7553072390487857
RRL.AX,PRU.AX,0.7548659251900933
RRL.AX,CMM.AX,0.7544599194589494
SFR.AX,CSC.AX,0.7540507522319668
NST.AX,CMM.AX,0.7537039963096801
EVN.AX,CMM.AX,0.7495409621298668
EMR.AX,PRU.AX,0.748904291134857
CMM.AX,PRU.AX,0.7482696068651592
PLS.AX,LTR.AX,0.7477110711418131
RRL.AX,EVN.AX,0.74716382504039
GPT.AX,SCG.AX,0.7410253067136666
NST.AX,WGX.AX,0.7386649528260356
RMS.AX,PRU.AX,0.7345045837389061
EVN.AX,GMD.AX,0.7289354811219684
MIN.AX,PLS.AX,0.7283191842290179
PNI.AX,NWL.AX,0.7258390196298807
NST.AX,PRU.AX,0.7258180921096185
EVN.AX,NEM.AX,0.7251187474025071
RRL.AX,NST.AX,0.7227729552505585
MGR.AX,SGP.AX,0.7191703623013513
SCG.AX,VCX.AX,0.7147178139364055
EMR.AX,CMM.AX,0.7145517714568991
NST.AX,GMD.AX,0.7122728137830103
EVN.AX,RMS.AX,0.7120243003794745
WBC.AX,NAB.AX,0.7106263038131306
EVN.AX,WGX.AX,0.705058899445216
IGO.AX,LTR.AX,0.7027109484333897
SFR.AX,S32.AX,0.7024759014990187
RIO.AX,FMG.AX,0.7021258977288228
WBC.AX,ANZ.AX,0.7007434240484048
CIA.AX,FMG.AX,0.700632481547491
MGR.AX,VCX.AX,0.700453686124741
